New York,NY,New York,40.6943,-73.9249,18680025
Los Angeles,CA,California,34.1141,-118.4068,12531334
Chicago,IL,Illinois,41.8375,-87.6866,8586888
Miami,FL,Florida,25.784,-80.2101,6076316
Dallas,TX,Texas,32.7935,-96.7667,5910669
Houston,TX,Texas,29.786,-95.3885,5724418
Philadelphia,PA,Pennsylvania,40.0077,-75.1339,5540199
Atlanta,GA,Georgia,33.7628,-84.422,5151496
Washington,DC,District of Columbia,38.9047,-77.0163,5066973
Boston,MA,Massachusetts,42.3188,-71.0852,4465966
Phoenix,AZ,Arizona,33.5722,-112.0892,4187723
Detroit,MI,Michigan,42.3834,-83.1024,3731486
San Francisco,CA,California,37.7558,-122.4449,3557982
Seattle,WA,Washington,47.6211,-122.3244,3530752
San Diego,CA,California,32.8313,-117.1222,3178495
Minneapolis,MN,Minnesota,44.9635,-93.2678,2885614
Tampa,FL,Florida,27.9945,-82.4447,2771700
Brooklyn,NY,New York,40.6501,-73.9496,2736074
Denver,CO,Colorado,39.762,-104.8758,2709398
Queens,NY,New York,40.7498,-73.7976,2405464
Baltimore,MD,Maryland,39.3051,-76.6144,2270087
Las Vegas,NV,Nevada,36.2333,-115.2654,2165405
St. Louis,MO,Missouri,38.6359,-90.2451,2144317
Riverside,CA,California,33.9381,-117.3949,2112239
Portland,OR,Oregon,45.5371,-122.65,2072553
San Antonio,TX,Texas,29.4632,-98.5238,2036324
Sacramento,CA,California,38.5677,-121.4685,1882358
San Juan,PR,Puerto Rico,18.3985,-66.061,1854549
San Jose,CA,California,37.3012,-121.848,1797166
Orlando,FL,Florida,28.4773,-81.337,1792047
Cleveland,OH,Ohio,41.4764,-81.6805,1742437
Pittsburgh,PA,Pennsylvania,40.4397,-79.9763,1719289
Manhattan,NY,New York,40.7834,-73.9662,1694263
Austin,TX,Texas,30.3005,-97.7522,1685522
Cincinnati,OH,Ohio,39.1413,-84.506,1684800
Indianapolis,IN,Indiana,39.7771,-86.1458,1636763
Kansas City,MO,Missouri,39.1238,-94.5541,1602005
Columbus,OH,Ohio,39.9862,-82.9855,1547862
Charlotte,NC,North Carolina,35.2083,-80.8303,1526465
Virginia Beach,VA,Virginia,36.7335,-76.0435,1475522
Bronx,NY,New York,40.8501,-73.8662,1472654
Milwaukee,WI,Wisconsin,43.0642,-87.9675,1390046
Providence,RI,Rhode Island,41.823,-71.4187,1204385
Jacksonville,FL,Florida,30.3322,-81.6749,1165107
Salt Lake City,UT,Utah,40.7776,-111.9311,1135747
Nashville,TN,Tennessee,36.1715,-86.7842,1081876
Raleigh,NC,North Carolina,35.8324,-78.6429,1073795
Memphis,TN,Tennessee,35.1087,-89.9663,1072330
Richmond,VA,Virginia,37.5295,-77.4756,1025117
Louisville,KY,Kentucky,38.1663,-85.6485,1004821
New Orleans,LA,Louisiana,30.0687,-89.9288,957783
Port Arthur,TX,Texas,29.8554,-93.9264,156988
Sugar Land,TX,Texas,29.5935,-95.6358,118563
Hampton,VA,Virginia,37.0551,-76.363,135169
Dublin,GA,Georgia,32.536,-82.928,15762
Oklahoma City,OK,Oklahoma,35.4676,-97.5136,947247
Jersey City,NJ,New Jersey,40.7184,-74.0686,262652
Concord,CA,California,37.9722,-122.0016,667250
Streator,IL,Illinois,41.1245,-88.8297,12337
Winter Haven,FL,Florida,28.0118,-81.7014,240768
Jensen Beach,FL,Florida,27.2437,-80.2423,13592
Towanda,IL,Illinois,40.5633,-88.9011,341
Madison Heights,MI,Michigan,42.5073,-83.1034,30000
Lake St. Louis,MO,Missouri,38.7846,-90.7886,16357
Norwood,OH,Ohio,39.1605,-84.4535,19843
Hagerstown,MD,Maryland,39.6401,-77.7217,194602
Woodland,CA,California,38.6712,-121.75,59759
Burlington,NC,North Carolina,36.076,-79.4685,137096
Pleasant Grove,AL,Alabama,33.494,-86.9782,9625
Cascade-Chipita Park,CO,Colorado,38.9433,-105.0023,943
El Dorado Hills,CA,California,38.675,-121.049,47107
Bel Air South,MD,Maryland,39.5022,-76.3113,222834
Abilene,TX,Texas,32.4543,-99.7384,110993
Ty Ty,GA,Georgia,31.472,-83.6509,710
Bridgeport,CT,Connecticut,41.1918,-73.1954,948918
Lubbock,TX,Texas,33.5657,-101.8879,257835
Brundidge,AL,Alabama,31.7182,-85.8178,2432
Topeka,KS,Kansas,39.0346,-95.6955,145717
